ds,temp,humi,rain,snowfall,weathercode,wind,press
2019-03-19,-2.4139999693632124,64.84,0.004000000059604644,0.16799999952316283,38.88,13.931999969482423,993.38400390625
2019-03-20,-6.199999968210856,56.666666666666664,0.0,0.01749999976406495,10.166666666666666,14.454166690508524,999.2666702270508
2019-03-21,-8.23043480126754,52.56521739130435,0.0,0.0,2.0434782608695654,13.082608803458836,1000.2695657481318
2019-03-22,-8.845999975204467,48.32,0.0,0.0,0.28,12.195999984741212,1000.3759960937501
2019-03-23,-7.9833333144585295,36.833333333333336,0.0,0.0,0.75,10.208333233992258,996.9666697184244
2019-03-24,-4.2291666728754835,41.125,0.0,0.002916666679084301,4.666666666666667,7.9166665971279135,985.1041692097982
2019-03-25,-4.222916696220636,59.625,0.0,0.02041666644314925,14.375,10.514583299557367,988.2374954223633
2019-03-26,-3.423999975323677,48.64,0.0,0.0,1.52,17.596000099182127,996.0719995117188
2019-03-27,-5.723809520403544,37.904761904761905,0.0,0.0,0.19047619047619047,14.623809519268217,998.0285673595611
2019-03-28,-5.234615420206235,36.07692307692308,0.0,0.0,0.4230769230769231,12.78076927478497,997.219233586238
2019-03-29,-5.539999890327453,37.12,0.0,0.0,1.0,7.451999969482422,1001.44
2019-03-30,-4.907692346435327,40.5,0.0,0.0,1.0769230769230769,8.430769150073711,1000.2846139761118
2019-03-31,-2.8079999828338624,39.04,0.0,0.0,1.96,8.88399995803833,999.9079956054687
2019-04-01,-1.2375000317891438,37.208333333333336,0.0,0.0,2.125,12.056249976158142,1001.7541656494141
2019-04-02,0.008333365122477232,34.0,0.0,0.0,0.0,12.614583392937979,1001.2083358764648
2019-04-03,1.300000037252903,34.52,0.0,0.0,1.4,8.58399990081787,991.9919995117187
2019-04-04,1.8000000715255737,47.791666666666664,0.0,0.0,2.0833333333333335,7.968750099341075,988.3666610717773
2019-04-05,3.503999984264374,41.08,0.0,0.0,2.2,13.367999897003173,987.5560034179688
2019-04-06,1.7040000104904174,50.88,0.0,0.0,2.48,13.431999950408935,987.9519995117188
2019-04-07,2.5307692816624274,58.11538461538461,0.015384615613864016,0.010769230815080492,6.346153846153846,12.184615428631124,991.5807659442609
2019-04-08,2.9440000224113465,51.6,0.0,0.0,1.0,12.403999977111816,996.6720068359375
2019-04-09,2.883999992609024,44.32,0.0,0.0,0.76,11.584000053405761,1001.5319995117187
2019-04-10,2.804166658781469,38.875,0.0,0.0,0.0,11.604166706403097,998.1208368937174
2019-04-11,3.767999987602234,40.24,0.0,0.0,0.0,6.667999982833862,993.8480004882813
2019-04-12,8.592000037133694,27.72,0.0,0.0,1.68,13.736000022888184,987.02
2019-04-13,3.0520000147819517,49.72,0.0,0.030799999237060543,10.52,15.103999996185303,992.3680029296875
2019-04-14,2.4833333250135183,32.041666666666664,0.0,0.0,2.25,10.039583226044972,993.9124959309896
2019-04-15,7.951999977529049,33.96,0.012000000178813934,0.0,5.92,11.363999938964843,984.3399975585937
2019-04-16,9.035999965667724,31.44,0.0,0.0,2.52,15.660000190734863,979.6200024414062
2019-04-17,0.2978260938240134,52.69565217391305,0.0,0.12173912933339244,42.04347826086956,12.08695656320323,989.2695657481318
