ds,temp,humi,rain,snowfall,weathercode,wind,press
2019-01-01,-1.0166666597748797,86.41666666666667,0.0,0.11958333073804776,40.416666666666664,27.054166793823242,996.0375035603842
2019-01-02,0.14583333985259136,93.29166666666667,0.025000000372529026,0.10791666526347399,37.083333333333336,13.174999902645746,994.8333384195963
2019-01-03,-3.504166672627131,85.33333333333333,0.0,0.05541666659216085,39.916666666666664,23.733333587646484,1015.8833312988281
2019-01-04,-6.6791666348775225,88.29166666666667,0.0,0.05541666597127914,28.75,10.181249976158142,1014.6041692097982
2019-01-05,-6.558333357175191,90.20833333333333,0.0,0.014583333395421503,14.333333333333334,9.241666654745737,1014.4500045776366
2019-01-06,-7.204166720310847,88.79166666666667,0.0,0.0,2.9375,8.59583326180776,1022.0333353678385
2019-01-07,-2.5999999782070518,87.625,0.0,0.0379166662072142,24.458333333333332,20.233333269755047,1014.7583312988281
2019-01-08,-1.4250000047807891,92.95833333333333,0.0,0.05541666690260172,34.333333333333336,9.7000000278155,1005.1208318074545
2019-01-09,-4.500000009934108,87.95833333333333,0.004166666728754838,0.16041666455566883,71.91666666666667,9.24999996026357,1008.5791702270508
2019-01-10,-5.241666694482167,91.375,0.0,0.04958333323399225,28.666666666666668,7.920833279689153,1016.3541666666666
2019-01-11,-3.8095237896555947,84.0,0.0,0.02999999977293468,19.285714285714285,24.185714176722936,998.4952392578125
2019-01-12,-1.6791666662320495,86.375,0.0,0.026249999801317845,15.208333333333334,19.7458332379659,987.7708333333334
2019-01-13,-5.175000023841858,89.4,0.0,0.0,2.5,14.719999933242798,988.1300018310546
2019-01-14,-4.268750002980232,88.7625,0.0,0.0043750000186264515,7.0,14.503749978542327,986.6150001525879
2019-01-15,-3.3624999821186066,88.125,0.0,0.008750000037252903,11.5,14.287500023841856,985.0999984741211
2019-01-16,-3.9249999821186066,88.5,0.0,0.03791666651765505,28.583333333333332,15.543750087420145,990.1333338419596
2019-01-17,-5.599999957614475,88.33333333333333,0.0,0.13222222278515497,33.888888888888886,12.611110965410868,991.8111097547743
2019-01-18,-6.377272714268077,84.77272727272727,0.0,0.05090909112583506,40.04545454545455,14.76590912992304,993.6227306019176
2019-01-19,-7.964583446582158,86.29166666666667,0.0,0.008750000037252901,8.395833333333334,13.54999989271164,1003.3500010172526
2019-01-20,-6.687499980131785,83.29166666666667,0.0,0.09333333435157935,48.375,21.216666499773662,1000.4458338419596
2019-01-21,-14.22083330154419,81.08333333333333,0.0,0.011666666716337204,13.75,16.12500003973643,1011.1874949137372
2019-01-22,-13.229166706403097,84.25,0.0,0.0,2.7083333333333335,14.68750007947286,1015.6666666666666
2019-01-23,-11.952083349227905,82.125,0.0,0.029166666790843006,17.25,16.072916626930237,1012.7291666666666
2019-01-24,-9.910416662693024,84.625,0.0,0.11958333135892947,20.416666666666668,12.133333305517832,1017.0083389282225
2019-01-25,-15.125000158945719,83.54166666666667,0.0,0.0,3.0,10.066666583220163,1024.3000030517576
2019-01-26,-12.066666642824806,83.41666666666667,0.0,0.11958333260069291,51.416666666666664,12.975000023841858,1010.4041620890301
2019-01-27,-16.227083265781403,83.33333333333333,0.0,0.0,2.125,7.0749999433755875,1005.4291712443032
