ds,temp,humi,precipitation,rain,snowfall,weathercode,wind,press
2019-01-01,-4.865217416182809,90.3913043478261,0.02608695691046507,0.0,0.01826086964296258,20.73913043478261,22.208695660466734,991.7043430494225
2019-01-02,-3.2108695610709814,88.04347826086956,0.09130434918662775,0.004347826151744179,0.060869565476541924,53.26086956521739,26.908695635588273,982.2173939580503
2019-01-03,-2.591666648785273,91.83333333333333,0.22291667262713113,0.004166666728754838,0.15458333057661852,66.08333333333333,16.93333327770233,988.0250015258789
2019-01-04,-4.814285698391142,93.04761904761905,0.07142857284772963,0.0,0.049999999858084176,38.714285714285715,8.757142827624367,988.2999965122768
2019-01-05,-6.570833375056584,92.75,0.0,0.0,0.0,2.75,7.55416664481163,986.9416707356771
2019-01-06,-9.156521631323773,87.52173913043478,0.0,0.0,0.0,3.0,10.808695668759553,994.6043488875679
2019-01-07,-11.670833388964335,83.625,0.0,0.0,0.0,3.0,13.35833336909612,999.0166702270508
2019-01-08,-10.12291653951009,84.16666666666667,0.016666666915019352,0.0,0.011666666716337204,14.333333333333334,19.549999713897705,990.0624974568685
2019-01-09,-11.162500063578287,84.25,0.0,0.0,0.0,2.875,15.50416668256124,992.0791651407877
2019-01-10,-9.808333357175192,88.125,0.012500000186264513,0.0,0.008750000037252903,11.458333333333334,9.133333345254263,996.1708297729492
2019-01-11,-11.125,88.04166666666667,0.0,0.0,0.0,3.0,11.991666674613953,988.3958358764648
2019-01-12,-10.043478260869566,83.69565217391305,0.0978260887381823,0.004347826151744179,0.06695652170025783,50.391304347826086,19.91739148678987,972.6608700959579
2019-01-13,-6.300000011920929,87.79166666666667,0.004166666728754838,0.0,0.002916666679084301,5.833333333333333,16.84583346048991,971.0083287556967
2019-01-14,-3.549999976158142,90.1,0.06000000089406966,0.0,0.04200000017881393,37.0,23.55999984741211,968.7400085449219
2019-01-15,-4.428571428571429,85.42857142857143,0.0,0.0,0.010000000042574746,11.0,26.657142911638527,969.7857142857143
2019-01-16,-7.45416663090388,87.66666666666667,0.0,0.0,0.0,2.7083333333333335,13.764583249886831,974.9667408607521
2019-01-17,-6.4153845860407905,87.53846153846153,0.0,0.0,0.0,3.0,20.81538464472844,978.6076988807091
2019-01-18,0.7809523854936872,89.0952380952381,0.07142857178336098,0.009523809665725344,0.04333333280824479,20.61904761904762,28.952380952380953,975.1476207914807
2019-01-19,-5.46739132248837,84.1304347826087,0.013043478455232535,0.0,0.00913043482148129,11.08695652173913,22.043478260869566,983.6652168605639
2019-01-20,-6.605882364160874,84.82352941176471,0.023529412115321436,0.0,0.016470588305417228,14.647058823529411,25.752941243788776,987.6764741785386
2019-01-21,-8.037500073512396,82.0,28.50937009902495,0.004166666728754838,0.002916666679084301,7.208333333333333,18.22500006357829,984.8750025431315
2019-01-22,-15.666666587193808,80.0,0.0,0.0,0.0,2.2083333333333335,16.229166507720947,991.8000055948893
2019-01-23,-15.254166523615519,83.91666666666667,0.0,0.0,0.0,2.5833333333333335,13.108333309491476,996.941660563151
2019-01-24,-14.270833333333334,83.125,0.0,0.0,0.0,2.8333333333333335,11.045833398898443,992.4999974568685
2019-01-25,-12.760416766007742,84.20833333333333,0.0,0.0,0.0,3.0,12.116666674613953,1001.0083363850912
2019-01-26,-11.713043544603432,84.21739130434783,0.24782608935366507,0.0,0.17652173858621847,45.08695652173913,23.15217412036398,993.421750275985
2019-01-27,-8.02916669845581,86.20833333333333,0.30000000540167093,0.0,0.21874999720603228,72.08333333333333,18.370833198229473,982.2624994913737
2019-01-28,-9.202272761951793,87.95454545454545,0.013636363839561287,0.0,0.009545454586094076,12.272727272727273,12.18181813846935,987.6772766113281
2019-01-29,-4.065217386121335,91.34782608695652,0.004347826151744179,0.0,0.006086956547654193,8.91304347826087,17.965217341547426,989.7478292713995
2019-01-30,-2.766666680574417,91.79166666666667,0.16666667039195696,0.004166666728754838,0.11374999924252428,48.666666666666664,16.950000206629436,990.7916641235352
2019-01-31,-0.08333333302289248,94.20833333333333,0.14166666784634194,0.050000001365939774,0.0641666656980912,26.166666666666668,18.170833349227905,991.0333302815756
2019-02-01,-2.541666661699613,92.79166666666667,0.033333333830038704,0.0,0.023333333432674398,14.333333333333334,11.066666603088379,993.9958368937174
2019-02-02,-4.447826095249342,92.17391304347827,0.05217391382093014,0.0,0.036521739285925156,23.782608695652176,8.83478243454643,996.3826081649116
2019-02-03,-1.8666666643694043,93.54166666666667,0.10833333587894838,0.05000000074505805,0.04083333257585764,30.25,14.033333460489908,996.5124969482422
