ds,temp,humi,precipitation,rain,snowfall,weathercode,wind,press
2019-01-01,-11.618181824684141,47.86363636363637,0.0,0.0,0.0,0.045454545454545456,6.281818129799583,1021.8181818181819
2019-01-02,-11.14166667064031,48.125,0.0,0.0,0.0,0.0,9.302083333333334,1022.4666697184243
2019-01-03,-10.45416667064031,54.458333333333336,0.0,0.0,0.0,0.0,7.12499996026357,1024.1249974568684
2019-01-04,-8.361363646658985,54.90909090909091,0.0,0.0,0.0,0.045454545454545456,10.181818127632141,1020.8500033291904
2019-01-05,-9.043478240137516,46.130434782608695,0.0,0.0,0.0,0.0,9.778260832247527,1017.6739103897759
2019-01-06,-10.300000001986822,48.25,23.17889098172623,0.0,0.0,0.041666666666666664,6.679166674613953,1020.9125010172526
2019-01-07,-11.345833241939545,50.333333333333336,0.0,0.0,0.0,0.4583333333333333,6.483333319425583,1019.3708368937174
2019-01-08,-10.733333349227905,42.916666666666664,0.0,0.0,0.0,0.4166666666666667,9.520833373069763,1016.4291636149088
2019-01-09,-9.242857002076649,55.142857142857146,35.11332267776051,0.0,0.0,0.0,10.052380925133114,1019.1571422758557
2019-01-10,-5.087500014031927,41.875,0.0,0.0,0.0,0.4583333333333333,8.616666734218597,1011.8249994913737
2019-01-11,-7.206250049173832,46.333333333333336,0.0,0.0,0.0,0.0,6.535416682561238,1019.8166707356771
2019-01-12,-6.073913099973098,41.78260869565217,0.0,0.0,0.0,0.6521739130434783,8.747826151225878,1019.6913027556046
2019-01-13,-5.1374999806284904,71.0,0.0,0.0,0.0,0.3333333333333333,6.670833259820938,1020.5166676839193
2019-01-14,-4.0249999994412065,76.875,0.0,0.0,0.0,2.0833333333333335,6.837499926487605,1019.5875040690104
2019-01-15,-3.7875000089406967,64.83333333333333,0.008333333457509676,0.0,0.005833333358168602,8.041666666666666,10.950000097354254,1010.4916661580404
2019-01-16,-10.246725160752586,42.130434782608695,0.0,0.0,0.0,0.6956521739130435,12.482608857362166,1012.8086892832882
2019-01-17,-12.094736902337326,31.36842105263158,0.0,0.0,0.0,0.0,14.052631547576503,1011.6421026932566
2019-01-18,-11.962500055631002,31.375,0.0,0.0,0.0,0.0,5.870833327372869,1017.904167175293
