ds,temp,humi,rain,snowfall,weathercode,wind,press
2019-01-01,4.724999974171321,85.45833333333333,0.0708333346992731,0.0,24.958333333333332,7.125,1024.75
2019-01-02,6.5863636190241035,66.13636363636364,0.05909090997143225,0.0,13.045454545454545,12.261363571340388,1014.9181823730469
2019-01-03,9.818181818181818,65.81818181818181,0.05454545637423342,0.0,11.681818181818182,10.609090891751375,1011.236355868253
2019-01-04,9.299999978807238,67.33333333333333,0.20000000546375912,0.0,14.777777777777779,14.122222264607746,1012.2666625976562
2019-01-05,5.878260840540347,87.8695652173913,0.0565217406205509,0.0,17.565217391304348,7.147826111834982,1017.8391325577446
2019-01-06,7.220833361148834,87.375,0.4208333349476258,0.0,32.416666666666664,7.908333343764146,1004.5124994913737
2019-01-07,6.245833357175191,86.375,0.9291666656111678,0.002916666679084301,51.5,11.704166745146116,1009.43332417806
2019-01-08,5.004166732231776,80.0,0.07916666753590107,0.002916666679084301,13.791666666666666,7.120833252867063,1013.029167175293
2019-01-09,3.6526315714183606,84.05263157894737,0.4052631607965419,0.02210526285987151,32.73684210526316,10.705263188010768,1011.6263138620477
2019-01-10,6.0062499940395355,55.208333333333336,0.0,0.0,1.5416666666666667,14.829166809717814,1021.0124994913737
2019-01-11,9.439999961853028,54.333333333333336,0.0,0.0,2.6666666666666665,17.153333536783855,1018.3466715494791
2019-01-12,8.402083396911621,78.16666666666667,0.9000000056500236,0.0,39.416666666666664,12.104166766007742,1013.5791676839193
2019-01-13,6.683333317438762,87.55555555555556,1.2444444373250008,0.0,53.388888888888886,11.022222201029459,1008.3555636935762
2019-01-14,7.690000081062317,79.75,0.5900000009685755,0.0,35.55,15.79000015258789,1005.9899993896485
2019-01-15,10.25000011920929,62.875,0.07500000111758708,0.0,33.0,18.962499856948853,1005.3500061035155
2019-01-16,5.30666667620341,86.2,0.7133333419760068,0.0,53.8,15.373333422342936,1006.8666625976564
2019-01-17,3.7833333176871142,73.41666666666667,0.004166666728754838,0.002916666679084301,6.75,6.541666636864345,1015.2791646321615
2019-01-18,4.125000009934108,75.70833333333333,0.0,0.0,1.25,11.654166718324026,1023.0874938964844
2019-01-19,5.20833332836628,67.16666666666667,0.0,0.0,2.5416666666666665,9.629166662693024,1021.8750050862628
2019-01-20,6.645833333333333,71.54166666666667,0.016666666915019352,0.0,10.375,11.633333325386047,1023.2916615804037
2019-01-21,7.766666670640309,68.04166666666667,0.0,0.0,0.875,12.083333412806192,1018.3958307902018
2019-01-22,6.463636333292181,87.0,0.5818181742321361,0.0,33.86363636363637,10.26363637230613,1018.8363647460938
2019-01-23,7.706250031789144,65.08333333333333,0.0,0.0,2.125,13.429166674613953,1016.7250010172526
2019-01-24,10.094444460339016,49.5,0.0,0.0,2.5,15.724999984105429,1011.4944491916233
2019-01-25,11.370833357175192,51.083333333333336,0.0,0.0,2.6666666666666665,13.133333325386047,1011.3416646321615
2019-01-26,9.805555582046509,59.44444444444444,0.0,0.0,2.4444444444444446,10.99444447623359,1010.1611158582899
2019-01-27,10.825000047683716,69.0,0.27000000290572646,0.0,30.0,15.730000162124634,1006.9850036621094
2019-01-28,8.7687499721845,88.79166666666667,0.32500000049670535,0.0,25.208333333333332,10.074999958276749,1011.8500010172526
2019-01-29,7.035416667660077,82.25,0.0,0.0,1.125,7.527083247900009,1015.7999979654948
2019-01-30,8.570833345254263,64.5,0.0,0.0,2.9166666666666665,5.2874999940395355,1013.9249979654948
2019-01-31,10.068750043710073,57.958333333333336,0.0,0.0,2.0416666666666665,12.258333285649618,1012.2458343505859
2019-02-01,9.92083343863487,66.70833333333333,0.15000000254561505,0.0,17.166666666666668,9.470833281675974,1013.0208384195962
2019-02-02,7.7999999324480696,87.70833333333333,0.20833333116024733,0.0,29.0625,5.812499990065892,1020.6458358764648
2019-02-03,7.779166718324025,83.33333333333333,0.004166666728754838,0.0,3.125,7.295833259820938,1024.8708394368489
2019-02-04,8.258333305517832,73.25,0.0,0.0,1.25,5.379166672627131,1025.6083374023438
2019-02-05,9.383333305517832,63.666666666666664,0.0,0.0,1.0833333333333333,3.670833339293798,1023.1958287556967
2019-02-06,10.524999976158142,55.041666666666664,0.0,0.0,1.6666666666666667,4.747916643818219,1018.0041732788085
2019-02-07,10.974999944368998,68.04166666666667,0.05833333420256773,0.0,20.0,7.687499980131785,1015.2249984741211
2019-02-08,9.90416673819224,80.33333333333333,0.004166666728754838,0.0,4.625,5.266666639596224,1015.9916712443032
2019-02-09,8.154166678587595,92.70833333333333,0.2333333364998301,0.0,39.25,5.616666624943416,1016.8791631062826
2019-02-10,8.377083400885263,93.5,0.42500000229726237,0.0,48.166666666666664,6.062500019868215,1019.9333292643229
2019-02-11,7.9041666984558105,89.08333333333333,0.07500000111758708,0.0,26.125,6.116666654745738,1020.4791590372723
2019-02-12,8.6124999721845,66.66666666666667,0.0,0.0,2.1666666666666665,9.733333309491476,1016.6458333333334
2019-02-13,9.870833297570547,58.416666666666664,0.0,0.0,2.5,8.683333357175192,1019.3083368937174
2019-02-14,8.320833305517832,83.16666666666667,0.0,0.0,3.0,6.156250029802322,1019.1625035603842
2019-02-15,7.712500035762787,83.29166666666667,0.0,0.0,2.7083333333333335,5.304166624943416,1016.8458353678385
2019-02-16,6.587499936421712,82.83333333333333,0.012500000186264513,0.0,8.1875,7.308333327372869,1019.5916646321615
2019-02-17,5.908333321412404,81.08333333333333,0.07916666846722364,0.0,24.875,8.943749939401945,1023.3749974568685
2019-02-18,6.356521751569665,92.78260869565217,0.9565217268207798,0.0,44.95652173913044,12.552173966946809,1017.7999984077785
2019-02-19,4.220833323895931,80.54166666666667,0.0,0.0,1.0833333333333333,11.937500019868216,1021.1416651407876
2019-02-20,5.141666690508525,70.91666666666667,0.0,0.0,0.2708333333333333,9.583333313465118,1022.0458323160807
2019-02-21,6.108333349227905,77.20833333333333,0.037500000558793545,0.0,7.5,8.87083343664805,1019.0750020345052
2019-02-22,6.079166670640309,82.25,0.283333337555329,0.0,37.541666666666664,12.899999976158142,1019.3541666666666
2019-02-23,8.395833333333334,68.5,0.06250000093132257,0.0,13.083333333333334,8.004166627923647,1018.5541661580404
2019-02-24,7.270833343267441,82.375,0.0,0.0,1.9166666666666667,5.866666679581006,1025.849998474121
2019-02-25,4.8583333392937975,83.91666666666667,0.0,0.0,2.375,6.650000045696895,1026.7041676839192
2019-02-26,4.638888862397936,85.38888888888889,0.5166666751934422,0.0,41.77777777777778,14.477777560551962,1016.9166632758247
2019-02-27,4.413636370138689,97.18181818181819,0.8954545523632657,0.0,55.0,13.036363753405483,1006.3863608620384
2019-02-28,3.3291666383544603,82.41666666666667,0.020833333643774186,0.0,12.166666666666666,7.412499934434891,1008.1083297729492
2019-03-01,3.299999992052714,87.5,0.3166666713853677,0.058333332339922585,61.666666666666664,16.583333333333332,1006.6333312988281
2019-03-02,4.736363681879911,88.27272727272727,0.6136363771828738,0.015909090638160706,50.04545454545455,13.463636430827053,1007.1363664106889
2019-03-03,3.2499999664723873,68.33333333333333,0.02083333395421505,0.0,5.625,9.749999970197678,1017.2208379109699
2019-03-04,3.7291666691501937,73.08333333333333,0.0,0.0,0.9166666666666666,6.508333300550778,1019.2708307902018
2019-03-05,7.333333276212215,55.291666666666664,0.0,0.0,2.4166666666666665,12.420833170413971,1016.5833333333334
2019-03-06,9.720833420753479,65.45833333333333,0.17916667026778063,0.0,19.208333333333332,11.004166553417841,1015.5750020345052
2019-03-07,6.912499974171321,87.04166666666667,0.2916666663562258,0.0,20.958333333333332,7.925000011920929,1019.7124989827474
2019-03-08,7.025000025828679,81.45833333333333,0.0,0.0,1.0833333333333333,8.089583203196526,1027.5374908447266
2019-03-09,10.289583325386047,64.20833333333333,0.0,0.0,1.9166666666666667,6.96666665871938,1023.4833323160807
2019-03-10,10.254166722297668,68.58333333333333,0.15833333414047956,0.0,21.25,12.383333285649618,1016.0708338419596
2019-03-11,9.19333340326945,80.66666666666667,0.17333333690961203,0.0,19.333333333333332,17.713333257039388,1015.2333251953127
2019-03-12,12.79333324432373,56.06666666666667,0.013333333532015481,0.0,9.4,14.126666704813637,1010.8733317057291
2019-03-13,10.708333333333334,89.25,0.8333333445092043,0.0,54.583333333333336,7.950000007947286,1010.6250025431315
2019-03-14,9.116666714350382,89.58333333333333,0.020833333643774186,0.0,8.020833333333334,7.36249998708566,1012.1583353678385
2019-03-15,9.087499996026358,88.41666666666667,0.26250000298023224,0.0,33.541666666666664,4.424999952316284,1007.9750035603842
2019-03-16,7.9583333532015486,94.04166666666667,0.7666666672254602,0.0,46.083333333333336,6.354166682809591,1009.2333374023438
2019-03-17,6.7125000556310015,89.25,0.7166666702056924,0.0,52.125,9.691666652758917,1013.3875020345052
2019-03-18,6.566666682561238,82.20833333333333,0.054166667784253754,0.0,15.416666666666666,6.316666593154271,1021.7541656494141
2019-03-19,7.158333420753479,82.04166666666667,0.0,0.0,0.16666666666666666,6.570833345254262,1022.6250050862628
2019-03-20,8.3250000278155,83.375,0.0,0.0,0.041666666666666664,4.916666626930237,1019.8333282470704
2019-03-21,7.7916666467984514,87.125,0.0,0.0,2.3333333333333335,11.370833416779837,1024.287498474121
2019-03-22,7.804166714350383,81.29166666666667,0.08750000161429246,0.0,28.791666666666668,6.9708333015441895,1024.6374994913738
